metric,step,value
train/clip_range,143360,0.20000000298023224
train/clip_range,145408,0.20000000298023224
train/clip_range,147456,0.20000000298023224
train/clip_range,149504,0.20000000298023224
train/clip_range,151552,0.20000000298023224
train/clip_range,153600,0.20000000298023224
train/clip_range,155648,0.20000000298023224
train/clip_range,157696,0.20000000298023224
train/clip_range,159744,0.20000000298023224
train/clip_range,161792,0.20000000298023224
train/clip_range,163840,0.20000000298023224
train/clip_range,165888,0.20000000298023224
train/clip_range,167936,0.20000000298023224
train/clip_range,169984,0.20000000298023224
train/clip_range,172032,0.20000000298023224
train/clip_range,174080,0.20000000298023224
train/clip_range,176128,0.20000000298023224
train/clip_range,178176,0.20000000298023224
train/clip_range,180224,0.20000000298023224
train/clip_range,182272,0.20000000298023224
train/clip_range,184320,0.20000000298023224
train/clip_range,186368,0.20000000298023224
train/clip_range,188416,0.20000000298023224
train/clip_range,190464,0.20000000298023224
train/clip_range,192512,0.20000000298023224
train/clip_range,194560,0.20000000298023224
train/clip_range,196608,0.20000000298023224
train/clip_range,198656,0.20000000298023224
train/clip_range,200704,0.20000000298023224
train/entropy_loss,4096,-1.3850483894348145
train/entropy_loss,6144,-1.3760358095169067
train/entropy_loss,8192,-1.349207878112793
train/entropy_loss,10240,-1.3281545639038086
train/entropy_loss,12288,-1.3068571090698242
train/entropy_loss,14336,-1.2875298261642456
train/entropy_loss,16384,-1.3236083984375
train/entropy_loss,18432,-1.3513777256011963
train/entropy_loss,20480,-1.3448481559753418
train/entropy_loss,22528,-1.3402552604675293
train/entropy_loss,24576,-1.352536678314209
train/entropy_loss,26624,-1.3764653205871582
train/entropy_loss,28672,-1.3727658987045288
train/entropy_loss,30720,-1.3539801836013794
train/entropy_loss,32768,-1.3567668199539185
train/entropy_loss,34816,-1.3309141397476196
train/entropy_loss,36864,-1.3311086893081665
train/entropy_loss,38912,-1.3357590436935425
train/entropy_loss,40960,-1.2831919193267822
train/entropy_loss,43008,-1.2544916868209839
train/entropy_loss,45056,-1.2469947338104248
train/entropy_loss,47104,-1.2078807353973389
train/entropy_loss,49152,-1.2314478158950806
train/entropy_loss,51200,-1.2143806219100952
train/entropy_loss,53248,-1.174586534500122
train/entropy_loss,55296,-1.165688157081604
train/entropy_loss,57344,-1.0601767301559448
train/entropy_loss,59392,-0.9687066078186035
train/entropy_loss,61440,-1.0383867025375366
train/entropy_loss,63488,-1.0065805912017822
train/entropy_loss,65536,-0.9709129929542542
train/entropy_loss,67584,-1.035885214805603
train/entropy_loss,69632,-0.9731946587562561
train/entropy_loss,71680,-0.9739097356796265
train/entropy_loss,73728,-1.0400859117507935
train/entropy_loss,75776,-0.9833628535270691
train/entropy_loss,77824,-0.8629974126815796
train/entropy_loss,79872,-0.8562845587730408
train/entropy_loss,81920,-0.8005412817001343
train/entropy_loss,83968,-0.7557490468025208
train/entropy_loss,86016,-0.8032515645027161
train/entropy_loss,88064,-0.8116939067840576
train/entropy_loss,90112,-0.799781322479248
train/entropy_loss,92160,-0.7834770083427429
train/entropy_loss,94208,-0.8424392342567444
train/entropy_loss,96256,-0.8526985049247742
train/entropy_loss,98304,-0.8460250496864319
train/entropy_loss,100352,-0.8782451748847961
train/entropy_loss,102400,-0.8251332640647888
train/entropy_loss,104448,-0.8445946574211121
train/entropy_loss,106496,-0.7951961755752563
train/entropy_loss,108544,-0.8417112231254578
train/entropy_loss,110592,-0.8546377420425415
train/entropy_loss,112640,-0.8335655331611633
train/entropy_loss,114688,-0.7255306839942932
train/entropy_loss,116736,-0.767274796962738
train/entropy_loss,118784,-0.7028628587722778
train/entropy_loss,120832,-0.6051487326622009
train/entropy_loss,122880,-0.5594562888145447
train/entropy_loss,124928,-0.6098952293395996
train/entropy_loss,126976,-0.5531215071678162
